nidId,latitude,longitude,drainageArea,maxDischarge
IA00879,42.5705,-96.028,0.2,0
IA00795,42.025800000000004,-95.8813,0.28,0
IA00746,42.0489,-95.8766,0.4,0
AK00107,51.96058,-176.58473,,
MN00611,47.038000000000004,-92.19,,
LA00699,32.62570854,-91.66759394,71,7000
SC02448,35.0608,-82.8189,,
SD02649,44.31080138,-103.6906685,1,50
TX07550,32.521373,-96.914251,,1
VA181005,37.1866,-77.0125,,
GA05846,32.645376,-85.043894,0.34,420
TX03775,30.885772,-94.396591,5.84,1971
TX00996,33.448245,-98.783497,0,0
PA00682,40.84027778,-76.11138889,0.3,
NE01282,40.7141958,-96.05511899,0.2,159
ND00314,48.650002,-102.061668,495,2373
NH00119,43.58,-72.0452,3.6,0
NC00028,35.03083,-79.04194,12800,119
ND00982,46.69236,-100.28465,1490,
MA00582,42.19052935,-71.65560352,5.48,
MA02776,42.56314,-71.84463,41,
KY00171,37.1197,-88.033786,0.31,
MA00818,42.10943722,-71.36183766,10.700000000000001,
IA03065,41.9022,-91.5067,6960,0
IA01964,40.4361,-91.4498,0.23,0
IA02175,40.880700000000004,-95.329,0.27,0
IA03291,40.709900000000005,-92.8823,0.73,0
IA02775,41.9315,-95.9318,0.8200000000000001,0
IA02451,42.308600000000006,-95.7062,0.55,0
IA01735,42.260200000000005,-96.024,0.74,0
IA00748,42.1482,-95.7764,0.63,0
IA01808,42.3339,-95.8547,0.09,0
IA01637,43.057500000000005,-96.4768,0.31,0
CO00045,39.308333999999995,-104.475576,1,4040
CO00697,39.546676999999995,-107.795572,0,42
GA05805,32.892106,-84.441812,0.08,165
WV06145,39.577239999999996,-79.93379167,,
SC01991,33.463100000000004,-79.5508,,
PA01083,41.15,-75.14833333,0.5,
RI01601,41.8257561,-71.53818517,1,540
NY11871,43.86194444,-75.9925,1.9000000000000001,362
NE01634,40.32700662,-96.53432507,7,470
ND00453,48.225769,-99.474869,7.1000000000000005,966
NE01542,42.5790222,-99.80070174,2.4,612
NC01407,36.23083,-79.39972,,
MN01488,44.897479999999995,-93.52694,0.5,
MN00164,43.856179999999995,-95.01947,3,250
MA00518,42.513811,-72.43010669,1.22,
MA00907,41.95355031,-70.66535625,3.9,
MN00888,45.14112,-95.49476,202,3052
MA02382,42.067313,-72.231682,0.14,
IL01226,40.462559999999996,-90.17643,0.8,47
IA02489,40.9228,-95.7031,0.24,0
IA03142,42.0124,-92.9225,0.33,0
IA01529,41.969500000000004,-95.5778,0.58,0
IA01939,42.6396,-92.0521,125,0
IA02106,41.1479,-94.2705,0.66,0
IA00873,42.7342,-96.5978,0.51,0
IA00173,41.3983,-94.8251,1.31,0
IA01259,42.4645,-96.1062,0.35000000000000003,0
CO02048,38.808337,-105.040574,2,773
CO02393,39.718615,-105.15668,0,315
CO00748,38.973341,-103.462234,1,1925
AZ00243,36.91278,-111.48444,,2000
AZ00298,34.05917,-109.53556,6,
WA01962,46.78761039,-117.2595541,0.01,0
MN00611,47.0415,-92.1867,,
UT00183,37.9085044,-111.8457431,0.5,
VT00113,43.82410049,-72.48368073,1.09,
